Year,Date,Last Value,Q%,SOQ,Value
CY 2018,2018-01-02 00:00:00,,,,85.949997
CY 2018,2018-01-03 00:00:00,,,,86.349998
CY 2018,2018-01-04 00:00:00,,,,87.110001
CY 2018,2018-01-05 00:00:00,,,,88.190002
CY 2018,2018-01-08 00:00:00,,,,88.279999
CY 2018,2018-01-09 00:00:00,,,,88.220001
CY 2018,2018-01-10 00:00:00,,,,87.82
CY 2018,2018-01-11 00:00:00,,,,88.080002
CY 2018,2018-01-12 00:00:00,,,,89.599998
CY 2018,2018-01-16 00:00:00,,,,88.349998
CY 2018,2018-01-17 00:00:00,,,,90.139999
CY 2018,2018-01-18 00:00:00,,,,90.099998
CY 2018,2018-01-19 00:00:00,,,,90
CY 2018,2018-01-22 00:00:00,,,,91.610001
CY 2018,2018-01-23 00:00:00,,,,91.900002
CY 2018,2018-01-24 00:00:00,,,,91.82
CY 2018,2018-01-25 00:00:00,,,,92.330002
CY 2018,2018-01-26 00:00:00,,,,94.059998
CY 2018,2018-01-29 00:00:00,,,,93.919998
CY 2018,2018-01-30 00:00:00,,,,92.739998
CY 2018,2018-01-31 00:00:00,,,,95.010002
CY 2018,2018-02-01 00:00:00,,,,94.260002
CY 2018,2018-02-02 00:00:00,,,,91.779999
CY 2018,2018-02-05 00:00:00,,,,88
CY 2018,2018-02-06 00:00:00,,,,91.330002
CY 2018,2018-02-07 00:00:00,,,,89.610001
CY 2018,2018-02-08 00:00:00,,,,85.010002
CY 2018,2018-02-09 00:00:00,,,,88.18
CY 2018,2018-02-12 00:00:00,,,,89.129997
CY 2018,2018-02-13 00:00:00,,,,89.830002
CY 2018,2018-02-14 00:00:00,,,,90.809998
CY 2018,2018-02-15 00:00:00,,,,92.660004
CY 2018,2018-02-16 00:00:00,,,,92
CY 2018,2018-02-20 00:00:00,,,,92.720001
CY 2018,2018-02-21 00:00:00,,,,91.489998
CY 2018,2018-02-22 00:00:00,,,,91.730003
CY 2018,2018-02-23 00:00:00,,,,94.059998
CY 2018,2018-02-26 00:00:00,,,,95.419998
CY 2018,2018-02-27 00:00:00,,,,94.199997
CY 2018,2018-02-28 00:00:00,,,,93.769997
CY 2018,2018-03-01 00:00:00,,,,92.849998
CY 2018,2018-03-02 00:00:00,,,,93.050003
CY 2018,2018-03-05 00:00:00,,,,93.639999
CY 2018,2018-03-06 00:00:00,,,,93.32
CY 2018,2018-03-07 00:00:00,,,,93.860001
CY 2018,2018-03-08 00:00:00,,,,94.43
CY 2018,2018-03-09 00:00:00,,,,96.540001
CY 2018,2018-03-12 00:00:00,,,,96.769997
CY 2018,2018-03-13 00:00:00,,,,94.410004
CY 2018,2018-03-14 00:00:00,,,,93.849998
CY 2018,2018-03-15 00:00:00,,,,94.18
CY 2018,2018-03-16 00:00:00,,,,94.599998
CY 2018,2018-03-19 00:00:00,,,,92.889999
CY 2018,2018-03-20 00:00:00,,,,93.129997
CY 2018,2018-03-21 00:00:00,,,,92.480003
CY 2018,2018-03-22 00:00:00,,,,89.790001
CY 2018,2018-03-23 00:00:00,,,,87.18
CY 2018,2018-03-26 00:00:00,,,,93.779999
CY 2018,2018-03-27 00:00:00,,,,89.470001
CY 2018,2018-03-28 00:00:00,,,,89.389999
CY 2018,2018-03-29 00:00:00,,,,91.269997
CY 2018,2018-04-02 00:00:00,,,,88.519997
CY 2018,2018-04-03 00:00:00,,,,89.709999
CY 2018,2018-04-04 00:00:00,,,,92.330002
CY 2018,2018-04-05 00:00:00,,,,92.379997
CY 2018,2018-04-06 00:00:00,,,,90.230003
CY 2018,2018-04-09 00:00:00,,,,90.769997
CY 2018,2018-04-10 00:00:00,,,,92.879997
CY 2018,2018-04-11 00:00:00,,,,91.860001
CY 2018,2018-04-12 00:00:00,,,,93.580002
CY 2018,2018-04-13 00:00:00,,,,93.080002
CY 2018,2018-04-16 00:00:00,,,,94.169998
CY 2018,2018-04-17 00:00:00,,,,96.07
CY 2018,2018-04-18 00:00:00,,,,96.440002
CY 2018,2018-04-19 00:00:00,,,,96.110001
CY 2018,2018-04-20 00:00:00,,,,95
CY 2018,2018-04-23 00:00:00,,,,95.349998
CY 2018,2018-04-24 00:00:00,,,,93.120003
CY 2018,2018-04-25 00:00:00,,,,92.309998
CY 2018,2018-04-26 00:00:00,,,,94.260002
CY 2018,2018-04-27 00:00:00,,,,95.82
CY 2018,2018-04-30 00:00:00,,,,93.519997
CY 2018,2018-05-01 00:00:00,,,,95
CY 2018,2018-05-02 00:00:00,,,,93.510002
CY 2018,2018-05-03 00:00:00,,,,94.07
CY 2018,2018-05-04 00:00:00,,,,95.160004
CY 2018,2018-05-07 00:00:00,,,,96.220001
CY 2018,2018-05-08 00:00:00,,,,95.809998
CY 2018,2018-05-09 00:00:00,,,,96.940002
CY 2018,2018-05-10 00:00:00,,,,97.910004
CY 2018,2018-05-11 00:00:00,,,,97.699997
CY 2018,2018-05-14 00:00:00,,,,98.029999
CY 2018,2018-05-15 00:00:00,,,,97.32
CY 2018,2018-05-16 00:00:00,,,,97.150002
CY 2018,2018-05-17 00:00:00,,,,96.18
CY 2018,2018-05-18 00:00:00,,,,96.360001
CY 2018,2018-05-21 00:00:00,,,,97.599998
CY 2018,2018-05-22 00:00:00,,,,97.5
CY 2018,2018-05-23 00:00:00,,,,98.660004
CY 2018,2018-05-24 00:00:00,,,,98.309998
CY 2018,2018-05-25 00:00:00,,,,98.360001
CY 2018,2018-05-29 00:00:00,,,,98.010002
CY 2018,2018-05-30 00:00:00,,,,98.949997
