CustomerKey,CountryRegion
19061,the Netherlands
19062,Greece
19063,Switzerland
19067,Ireland
19070,Portugal
19071,Spain
19073,Italy
19074,Russia
19077,Russia
19078,Poland
19118,Turkmenistan
19119,Thailand
19120,China
19121,Kyrgyzstan
19122,South Korea
19124,Syria
19125,China
19126,China
19127,Pakistan
19128,India
19129,Japan
19130,Japan
19131,India
19132,Japan
19133,India
19134,Japan
19135,Japan
19136,South Korea
19137,China
19138,Singapore
19139,Taiwan
19140,Iran
19141,Bhutan
19142,Japan
19143,China
19144,Armenia
19145,Japan
